公司代號,公司名稱,範疇一-排放量(噸CO2e),範疇一-資料邊界,範疇一-取得驗證,範疇二-排放量(噸CO2e),範疇二-資料邊界,範疇二-取得驗證,範疇三-排放量(噸CO2e),範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1101,台泥,"4,798,945.00",台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,"220,392.00",台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,"29,575.00",台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠),ISO 14064,0.807,產品
1102,亞泥,"2,967,231.00",亞洲水泥個體公司,ISO 14064,"172,203.00",亞洲水泥個體公司,ISO 14064,"419,501.00",亞洲水泥個體公司,ISO 14064,0.852,產品
1103,嘉泥,209.1565,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,"4,007.20",合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,"1,353.95",合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,0.0027,"營業額2,042,623 (仟元)"
1104,環泥,"18,362.00",母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,"18,273.00",母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,N/A,N/A,N,0.0095,產值(新台幣千元)
1108,幸福,"568,272.20",幸福水泥(股)公司東澳廠,ISO 14064,"39,493.34",幸福水泥(股)公司東澳廠,ISO 14064,N/A,N/A,N,0.52,產品
1109,信大,"574,039.84",僅信大母公司南聖湖工廠,ISO 14064,"43,746.29",僅信大母公司南聖湖工廠,ISO 14064,N/A,N/A,N,N/A,N/A
1110,東泥,"2,738.00",工廠,N,"20,881.00",工廠,N,N/A,N/A,N,0.034,產品
1201,味全,"11,135.17","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.直接擁有或控制的排放源所直接排放的溫室氣體
 含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。
 含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,"21,106.03","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.外購電力產生溫室氣體排放。",N,N/A,N/A,N,0.22,產品
1203,味王,"7,168.95",母公司,N,"4,233.84",母公司,N,N/A,N/A,N,5.132,營業額
1210,大成,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
