公司代號,公司名稱,範疇一-排放量(噸CO2e),範疇一-資料邊界,範疇一-取得驗證,範疇二-排放量(噸CO2e),範疇二-資料邊界,範疇二-取得驗證,範疇三-排放量(噸CO2e),範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1101,台泥,"4,314,312.00",台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,"218,480.00",台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,"17,428.00",台泥台灣個體公司(涵蓋營運企業團總部、研究室、2座水泥廠),ISO 14064,0.8033,產品
1102,亞泥,"2,924,606.47",亞洲水泥個體公司,ISO 14064,"184,773.12",亞洲水泥個體公司,ISO 14064,"97,238.86",亞洲水泥個體公司,ISO 14064,0.839,產品
1103,嘉泥,834.85,包含合併財務報表之母子公司,ISO 14064,"6,807.56",包含合併財務報表之母子公司,ISO 14064,"1,956.70",包含合併財務報表之母子公司,ISO 14064,0.0043,百萬元營業額
1104,環泥,"34,528.66",母公司,N,"20,707.60",母公司,N,N/A,N/A,N,0.0123,新台幣千元產值
1108,幸福,"526,010.00",幸福水泥(股)公司東澳廠,ISO 14064,"38,629.00",幸福水泥(股)公司東澳廠,ISO 14064,N/A,N/A,N,0.52,產品
1109,信大,"479,891.48",母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,"37,922.41",母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,"13,837.24",母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,75.12,百萬元營業額
1110,東泥,"2,570.00",僅母公司,N,"17,073.00",僅母公司,N,N/A,N/A,N,0.033,總生產量(噸)
1201,味全,"11,760.23","1.母公司(公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.直接擁有或控制的排放源所直接排放的溫室氣體
  含2-1營業所/工廠購汽油柴油鍋爐天燃氣等排放及辦公室人員活動之溫室氣體排放
  含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,"20,663.67","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.外購電力產生溫室氣體排放",N,N/A,N/A,N,4,百萬元營業額
1203,味王,"5,754.82",僅母公司,N,"10,013.07",僅母公司,N,N/A,N/A,N,4.395,百萬元營業額
1210,大成,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
