,股票代號,公司名稱,直接(範疇一)溫室氣體排放量(公噸),能源間接(範疇二)溫室氣體排放量(公噸),其他間接(範疇三)溫室氣體排放量(公噸),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度(公噸),員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比例,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G
0,1101,台泥,3526429.66,224308.14,6977983.29,140.4042,0.0006,12657.93,0.1821,0.0,105940.35,105940.35,1.5237,1139.0,973.0,994.0,871.0,0.189,13.0,0.0015,0.0,0.0,0.0,15.0,5.0,0.2667,0.9897,3.0,78.0,90.0,60.0,81.0
1,1102,亞泥,2639181.69,167144.1,103836.53,251.91,0.0001,2636000.0,0.815,0.0,2772.0,2772.0,0.248,1299.0,1188.0,1083.0,941.0,0.23,1.0,0.002,0.0,0.0,0.0,15.0,5.0,0.13,0.9452,4.0,76.0,81.0,63.0,81.0
14,1218,泰山,4441.76,6498.6,3861.37,1.1251,0.6034,693490.0,828.3445,4.0,1500.0,1504.0,1.7965,779.0,620.0,595.0,547.0,0.042,4.0,0.006,0.0,0.0,0.0,9.0,3.0,0.222,0.94,1.0,70.0,70.0,80.0,60.0
23,1234,黑松,9555.85,14736.97,6588.38,2.6457,0.0136,804000.0,4.0186,0.0,2697.0,2697.0,0.0135,994.0,824.0,837.0,756.0,0.1798,1.0,0.0018,0.0,0.0,0.0,13.0,3.0,0.1538,0.9359,1.0,69.0,79.0,60.0,73.0
37,1314,中石化,712338.0,180691.0,1426722.0,33.81,0.0005,5881000.0,222.7,25930.0,15103.0,41033.0,1.55,948.0,780.0,760.0,699.0,0.0533,2.0,0.0017,0.0,0.0,0.0,9.0,3.0,0.0,0.875,2.0,74.0,96.0,48.0,72.0
45,1326,台化,5143026.0,3016074.0,14640213.0,37.5052,0.0054,25781200.0,11850.9,17.0,169330.0,169347.0,77.81,1540.0,1319.0,1352.0,1229.0,0.0487,3.0,0.0006,0.0,0.0,0.0,15.0,3.0,0.067,0.87,2.0,71.0,81.0,55.0,75.0
52,1402,遠東新,1025202.0,1156734.0,11685654.0,6.83,0.05,18492000.0,2.6,12484.0,96608.0,109092.0,0.0155,1257.0,1073.0,994.0,832.0,0.24,44.0,0.0022,0.0,0.0,0.0,13.0,3.0,0.15,0.98,7.0,73.0,70.0,63.0,83.0
69,1440,南紡,49774.62,74661.47,574617.23,13.228,0.0059,678210.0,70.0,0.16,782.71,782.87,0.0832,689.0,563.0,619.0,556.0,0.1212,8.0,0.0316,0.0,0.0,0.0,20.0,4.0,0.25,0.9417,2.0,65.0,60.0,55.0,75.0
99,1476,儒鴻,28225.17,90560.75,9881.73,3.8578,0.0133,2431033.0,78.954,229.888,14062.1,14291.99,0.4641,1156.0,1015.0,953.0,833.0,0.3571,30.0,0.0016,0.0,0.0,0.0,12.0,4.0,0.0833,0.9702,7.0,78.0,74.0,80.0,81.0
100,1477,聚陽,15415.35,15050.53,12312.35,0.9386,0.41,676633.0,20.85,1236.84,8550.13,9786.97,0.3,2129.0,1927.0,1508.0,1381.0,0.5942,10.0,0.0137,0.0,0.0,0.0,15.0,4.0,0.4,0.9667,25.0,83.0,61.0,90.0,94.0
131,1560,中砂,8333.87,34084.6,7574.69,7.1656,0.006,1519104.0,256.65,22.828,1610.12,1632.95,0.28,973.0,794.0,809.0,740.0,0.0641,6.0,0.0035,0.0,0.0,0.0,9.0,3.0,0.0,0.97,4.0,69.0,69.0,68.0,72.0
143,1605,華新,203986.19,326624.4,4322646.83,0.52,0.0147,14124954.08,13.7635,72668.27,175507.39,248175.66,0.2418,1220.0,1090.0,1094.0,889.0,0.1761,84.0,0.0055,0.0,0.0,0.0,11.0,4.0,0.0009,0.9495,4.0,71.0,60.0,65.0,85.0
145,1609,大亞,414.3786,20123.31,336741.46,1.3995,0.0095,115773.0,2.9246,112.098,2236.18,2348.27,0.0593,1682.0,1537.0,1300.0,1186.0,0.1705,19.0,0.0295,1.0,0.0,0.0,9.0,4.0,0.2222,0.9683,4.0,64.0,70.0,38.0,81.0
