,股票代號,公司名稱,產業類別,統一編號,董事長,總經理,資本額,經營業務,入選投組
0,1101,台泥,水泥工業,11913502.0,張安平,程耀輝,77511817420.0,有關水泥及水泥製品之生產及運銷 有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷 經營有關水泥工業及其附屬事業,00692富邦公司治理、00850元大臺灣ESG永續、00878國泰永續高股息、00932兆豐永續高息等權、00922國泰台灣領袖50
1,1102,亞泥,水泥工業,3244509.0,徐旭東,李坤炎,35465628810.0,"水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷 水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷 其他未述及之項目請參照本公司營業執照之所營事業",00692富邦公司治理、00850元大臺灣ESG永續、00932兆豐永續高息等權
2,1103,嘉泥,水泥工業,11892801.0,張剛綸,王立心,7902474590.0,水泥、生產、銷售,
3,1104,環泥,水泥工業,7568009.0,博智投資股份有限公司,侯智升,6866818160.0,水泥及預拌混凝土之製造與銷售。 石膏板之生產、加工及銷售與進、出口、代理銷售。 其餘請參考本公司登記營業項目。,
4,1108,幸福,水泥工業,40601248.0,陳兩傳,陳明賢,4047380490.0,有關水泥及水泥製品之工業及相關事業,
5,1109,信大,水泥工業,3279507.0,楊智雄,楊大寬,3411588680.0,有關水泥及水泥製品之生產及運銷,
6,1110,東泥,水泥工業,83078600.0,陳敏斷,吳炎輝,5720007970.0,(1)水泥製造與買賣(2)石灰石之開採及銷售 (3)水泥加工製品及預拌混凝土之製造及銷售 (4)廠房及大樓出租業(5)廢棄物處理業,
7,1201,味全,食品工業,11347802.0,陳宏裕,林建宏,5060629140.0,食品製造及販賣,
8,1203,味王,食品工業,7067309.0,陳清福,陳恭平,2400000000.0,味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務 洋菸酒類及飲料之進口及經銷 汽車檢驗及修理,
9,1210,大成,食品工業,73008303.0,韓家宇,韓芳豪,8947672220.0,飼料 大宗油脂 肉品,
10,1213,大飲,食品工業,35012903.0,蘇芸樂,于忠敏,566226270.0,製造蘋果汽水礦泉水及各種汽水飲料等之批發 經銷各國及國內有關飲料之產品副產品加工產品 百貨批發,
11,1215,卜蜂,食品工業,36514783.0,鄭武樾,許瑞通,2947900980.0,各種飼料生產加工配製銷售進口及買賣 各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售 各種肉類加工品與調理食品及蛋品生產銷售等業務,
12,1216,統一,食品工業,73251209.0,羅智先,黃釗凱、李清田,56820154210.0,食品事業、便利商店事業、流通事業 包裝容器事業、食糧事業、油品事業 其他(製藥事業、休閒開發事業、物流事業等),00850元大臺灣ESG永續、00878國泰永續高股息、00923群益台ESG低碳50(原簡稱:群益台灣ESG低碳)、00922國泰台灣領袖50
13,1217,愛之味,食品工業,65534366.0,陳冠翰,陳志展,4945133360.0,食品,
14,1218,泰山,食品工業,59661701.0,劉偉龍,蔡政達,4999990380.0,各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品 各種禽畜魚類飼料之加工製造及買賣,
15,1219,福壽,食品工業,56192402.0,洪堯昆,趙文強,3416023640.0,食用油脂、動物飼料、穀物食品、寵物食品、有機肥料等生產及銷售 進出口國際貿易 大宗穀物進口與銷售,
16,1220,台榮,食品工業,3543210.0,倍安利投資有限公司,陳英凱,1770779440.0,飼料製造販賣 果糖製造販賣 玉米澱粉製造販賣,
17,1225,福懋油,食品工業,22102298.0,晉昇投資有限公司,張志賓,2296382040.0,麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。 家畜，家禽之養殖及肉類之加工銷售。 一般進口貿易業務(許可業務除外)。,
18,1227,佳格,食品工業,22102473.0,曹德風,曹博睿,9150895910.0,"嬰兒麥粉,麥片及相關產品之生產製造 食用油及滋養飲料粉之分裝,加工,銷售業務 一般進出口貿易",
19,1229,聯華,食品工業,11996904.0,苗豐強,林信宏,17104387320.0,產業控股公司業,
20,1231,聯華食,食品工業,7569627.0,李開源,林家齊,2713222500.0,食品,
21,1232,大統益,食品工業,20927014.0,羅智先,陳昭良,1599749150.0,黃豆油、粉加工，製造及銷售,
22,1233,天仁,食品工業,18559415.0,李國麟,林仁宗,905919480.0,茶葉製造加工 茶葉製品買賣 茶相關製品,
23,1234,黑松,食品工業,20651901.0,張斌堂,張智鈞,4018710940.0,"碳酸飲料,酒類,果蔬汁,咖啡飲料,運動飲料等.",
