,公司名稱,毛利率2023年度成長率(%),營益率2023年度成長率(%),淨利率2023年度成長率(%)
0,台泥,1.03,7.63,0.48
1,亞泥,-0.112,-0.13,-0.0943
2,嘉泥,1.76,0.627,1.45
3,環泥,0.129,0.159,0.0325
4,幸福,-0.109,-0.139,-0.093
5,信大,0.0731,0.0858,0.718
6,東泥,0.681,2.89,0.0032
7,味全,0.0556,-0.0393,0.117
8,味王,0.0224,0.0265,-0.316
9,大成,0.317,0.969,0.855
10,大飲,-6.96,-1.11,-0.829
11,卜蜂,0.29,0.461,0.459
12,統一,0.12,-0.013,0.068
13,愛之味,-0.0162,-0.248,-0.277
14,泰山,0.0761,0.841,-1.01
15,福壽,0.027,0.152,-0.0291
16,台榮,0.418,1.61,1.9
17,福懋油,0.103,0.283,-0.003
18,佳格,-0.0108,-0.0571,0.0096
19,聯華,-0.0774,-0.251,0.074
20,聯華食,-0.0878,-0.227,0.112
21,大統益,0.0505,0.0322,-0.0174
22,天仁,0.189,4.17,0.868
23,黑松,0.107,0.207,0.0703
24,興泰,-0.16,-1.52,-0.437
25,宏亞,-0.055,2.02,-0.963
26,鮮活果汁-KY,0.114,0.0233,0.0412
27,台塑,-0.769,-1.15,-0.797
28,南亞,-0.643,-0.938,-0.803
29,台聚,-0.488,-0.718,-1.13
30,華夏,1.47,1.47,1.92
31,三芳,0.457,2.37,0.617
32,亞聚,-0.646,-0.687,-0.92
33,台達化,-0.753,-3.06,-1.66
34,台苯,-0.259,-0.136,-0.236
35,國喬,-0.485,-0.387,-1.91
36,聯成,5.42,0.917,0.771
37,中石化,0.118,0.207,-5.55
38,達新,-0.303,-0.916,-0.507
39,上曜,-0.752,-2.05,-2.03
40,東陽,0.419,0.936,0.404
41,大洋,0.118,1.18,5.53
42,永裕,-0.205,-0.321,-0.549
43,地球,0.281,44,7.22
44,恆大,-1.01,-8.65,0.0709
45,台化,-0.103,0.423,0.162
46,再生-KY,0.324,0.164,0.137
47,廣華-KY,-0.148,-0.788,-2.21
48,昭輝,0.3,1.23,0.0663
49,勝悅-KY,0.169,0.059,-1
50,富林-KY,-0.114,-0.179,-0.233
51,八貫,0.11,0.114,0.0606
52,遠東新,-0.0592,0.0434,0.0078
53,新纖,-0.386,-0.714,-0.729
54,南染,-0.547,-1.32,-0.735
55,宏洲,-1.38,-2.61,-2.34
56,東和,-0.755,-1.46,-0.685
57,廣豐,0.618,0.75,0.0068
58,嘉裕,0.181,0.585,-1.65
59,東華,1.55,0.0691,0.833
60,新紡,0.082,0.198,-0.687
61,利華,-26.18,-0.943,-0.0384
62,大魯閣,0.365,13.26,2.93
63,福懋,-0.329,-0.779,-0.869
64,中福,-0.346,-0.119,0.819
65,華友聯,0.0807,0.268,0.5
66,勤益控,0.106,0.0683,0.408
67,三地開發,-0.866,-0.941,-1.17
68,雋揚,-0.555,-1.32,1
69,南紡,-0.751,-4.44,0.815
70,大東,-0.386,0.0127,-0.15
71,名軒,2.18,2.74,1.67
72,立益物流,0.0444,0.0709,-0.225
73,力麗,-1.05,-15.32,-1.56
74,大宇,0.559,-1.24,90.77
75,宏和,12.16,4.54,3.91
76,力鵬,-0.545,-0.786,-11.02
77,佳和,0.414,0.765,-0.398
78,年興,-1.01,-2.45,-1.85
79,宏益,-0.823,-1.61,-0.593
80,大將,2.92,1.5,5.93
81,台富,-0.264,-1.79,-0.393
82,集盛,-1.7,-1.1,0.148
83,怡華,2.23,2.37,1.07
84,宜進,-0.638,-0.388,-0.441
85,聯發,-6.02,-1.31,1.05
86,宏遠,-0.819,-11.59,-56.48
87,強盛,-0.794,-13.03,0.562
88,得力,-0.131,-1.87,-0.857
89,偉全,-0.157,-1.03,-0.404
90,聚隆,-0.527,-0.297,-1.27
91,南緯,-0.408,-6.93,-3.32
92,昶和,3.23,0.436,-0.265
93,大統新創,-0.255,-0.496,0.502
94,首利,13.26,0.444,0.726
95,三洋實業,1.34,19.67,37.2
96,台南,-0.0462,0.215,0.0347
97,弘裕,-0.481,-2.56,-1.57
98,業旺,0.001,0.104,-0.0963
99,儒鴻,-0.125,-0.154,-0.238
100,聚陽,0.0134,0.092,0.136
101,士電,0.0815,0.0929,0.168
102,東元,0.133,0.313,0.686
103,正道,-0.0883,2.58,-0.0898
104,瑞利,4.09,0.164,1.02
105,中興電,0.353,0.539,-0.349
106,亞力,0.308,0.886,0.477
107,力山,6.21,2.12,2.03
108,川飛,-0.45,-0.578,-0.728
109,利奇,-0.949,-1.52,-1.29
110,華城,1.73,5.65,2.07
111,大億,0.198,2.57,-0.523
112,堤維西,0.235,0.97,0.172
113,耿鼎,0.31,0.539,0.0449
114,江申,0.225,0.461,0.497
115,日馳,-0.621,-0.933,-0.882
116,鑽全,-0.381,-0.51,-0.501
117,恩德,-0.134,-1.09,-1.1
118,樂事綠能,0.32,0.26,2.06
119,亞崴,-0.459,-0.889,-0.405
120,高林股,-0.499,-2.11,-0.925
121,勤美,0.251,0.629,0.199
122,車王電,-0.123,-1.64,-4.14
123,中宇,0.199,0.398,0.0699
124,和大,-0.327,-0.229,-0.476
125,廣隆,-0.186,-0.21,-0.309
126,正峰,-0.595,-0.44,-0.0273
127,巨庭,-0.417,-0.569,-0.839
128,喬福,0.306,0.539,0.0272
129,錩泰,0.115,0.67,-0.577
130,伸興,0.318,0.437,-0.484
131,中砂,-0.232,-0.309,-0.317
132,巧新,0.43,5.35,0.0442
133,倉佑,0.0777,0.215,0.655
134,信錦,0.194,1.27,0.73
135,程泰,-0.263,-0.46,0.0072
136,吉茂,-0.246,-0.67,-0.693
137,永冠-KY,-0.109,-2.77,0.385
138,亞德客-KY,0.157,0.173,0.158
139,直得,-0.34,-0.687,-0.717
140,岱宇,0.279,0.741,-0.613
141,華電,0.351,0.519,0.445
142,聲寶,0.0536,0.0801,0.101
143,華新,-0.167,-0.343,-0.735
144,華榮,0.316,0.474,26.99
145,大亞,0.598,0.818,2.28
146,中電,-0.148,-0.254,0.934
147,宏泰,0.136,0.159,0.777
148,三洋電,0.0458,0.0672,0.103
149,大山,0.235,0.281,0.217
150,億泰,0.598,1.68,11.23
151,榮星,-0.103,0.392,-0.709
152,合機,0.791,1.02,0.559
153,艾美特-KY,0.265,0.949,-0.944
154,南僑,0.217,0.777,0.861
155,葡萄王,0.0062,-0.0216,-0.003
156,東鹼,-0.698,-0.88,-1.02
157,和益,-0.407,-0.578,-0.614
158,東聯,7.12,0.412,5.84
159,永光,-0.198,-0.781,-0.771
160,興農,-0.199,-0.346,-0.362
161,國化,-0.398,-4.34,0.225
162,和桐,-0.0705,-0.0338,0.618
163,長興,-0.198,-0.416,-0.426
164,中纖,0.0789,0.215,-0.174
165,生達,0.0956,0.126,0.0239
166,三晃,-1.24,-8.99,-5.53
167,台肥,2.19,6.64,0.468
168,中碳,-0.114,-0.149,-0.157
169,元禎,-0.112,-0.147,-0.21
170,永記,0.0845,0.0866,0.0206
171,中華化,-0.316,-0.954,-0.635
172,花仙子,-0.0172,-0.0687,-0.0885
173,美吾華,0.0463,-0.0225,0.0449
174,毛寶,-0.0327,-0.962,-2.17
175,五鼎,-0.0793,-0.197,-0.363
176,杏輝,-0.0001,0.45,0.67
177,日勝化,0.139,28.8,1.14
178,喬山,0.262,6.78,0.655
179,臺鹽,-0.015,-0.296,-0.296
180,南光,0.0873,-0.192,-0.436
181,寶齡富錦,-0.261,-0.621,-0.577
182,中化生,-0.213,-0.394,-0.431
183,勝一,-0.0666,-0.122,-0.135
184,展宇,-0.0532,-0.157,0.398
185,和康生,0.134,0.165,0.19
186,科妍,0.378,0.483,0.255
187,神隆,-0.0278,-0.224,-0.187
188,美時,0.202,0.193,0.359
189,台玻,0.0222,0.628,1.05
190,寶徠,-0.659,0.288,0.0049
191,冠軍,0.0489,-0.0016,1
192,潤隆,12.88,42.17,48.17
193,中釉,-0.295,-5.76,-1.27
194,和成,-0.0829,-1.07,-0.877
195,凱撒衛,-0.0671,-0.225,-0.19
196,士紙,0.116,0.374,-0.592
197,正隆,0.0446,0.199,-0.634
198,華紙,-0.573,-4.57,-2.29
199,寶隆,-0.43,-0.636,-0.929
200,永豐餘,-0.0929,-0.88,-0.158
201,榮成,0.0365,1.07,-0.123
202,中鋼,-0.474,-0.804,-0.905
203,東和鋼鐵,0.161,0.172,0.184
204,燁興,-6.03,-1.31,-0.413
205,高興昌,-0.384,-0.36,2.86
206,第一銅,0.769,0.394,-1.05
207,春源,0.176,0.332,0.428
208,春雨,-0.268,-0.472,-0.528
209,中鋼構,0.0175,-0.039,0.118
210,中鴻,1.46,0.983,1.16
211,豐興,-0.149,-0.18,-0.227
212,官田鋼,-1.08,-2.63,-2.08
213,美亞,0.974,1.25,3
214,聚亨,0.922,2.37,1.67
215,燁輝,-0.266,-0.308,-2.34
216,志聯,-0.866,-1.72,-2.16
217,千興,-0.424,-0.296,-0.708
218,大成鋼,-0.373,-0.522,-0.557
219,威致,-0.391,-0.451,-0.447
220,盛餘,0.125,0.413,0.242
221,彰源,-0.57,-0.783,-0.931
222,新光鋼,0.216,0.122,3.2
223,新鋼,-0.598,-4.45,-1.54
224,佳大,0.0108,0.597,0.755
225,允強,-0.494,-0.642,-1.33
226,海光,-0.184,-0.522,-0.747
227,上銀,-0.286,-0.524,-0.546
228,川湖,-0.209,-0.23,-0.333
229,橋椿,-0.339,-0.517,-0.573
230,運錩,-0.648,-1.14,-1.78
231,南港,0.446,2.08,1.13
232,泰豐,-8.55,-0.478,-0.275
233,台橡,-0.4,-0.646,-0.619
234,國際中橡,-0.552,-0.913,-1.73
235,正新,0.115,0.405,0.448
236,建大,0.177,4.62,1.61
237,厚生,-0.327,-0.462,-0.271
238,南帝,-0.32,-0.436,-0.401
