,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
0,0,1101,台泥,水泥工業,71,71,71,29,57,43,43,15,43,57,15,15,15,85,29,15,99,29,43,99,15,29,29,35,55,50,45
1,1,1102,亞泥,水泥工業,85,85,85,15,43,99,99,29,29,99,99,29,29,15,15,29,85,99,57,85,29,15,15,35,78,69,58
2,2,1103,嘉泥,水泥工業,99,99,99,43,99,85,85,99,57,85,85,99,99,99,99,99,71,85,29,71,85,71,99,88,85,78,83
3,3,1104,環泥,水泥工業,57,57,57,57,29,71,71,71,99,71,71,71,85,71,85,85,57,71,99,57,43,43,43,67,62,69,65
4,4,1108,幸福,水泥工業,15,15,15,99,71,15,29,43,15,43,57,57,57,57,43,71,43,15,85,43,71,57,71,52,31,55,46
5,5,1109,信大,水泥工業,29,43,43,71,85,57,57,57,85,29,43,43,43,43,71,57,29,43,15,29,57,85,57,56,50,43,53
6,6,1110,東泥,水泥工業,43,29,29,85,15,29,15,85,71,15,29,85,71,29,57,43,15,57,71,15,99,99,85,66,38,36,49
7,7,1201,味全,食品工業,51,51,59,43,67,47,15,23,59,79,55,31,31,39,75,59,99,99,47,43,35,31,71,45,44,75,54
8,8,1203,味王,食品工業,27,27,31,71,27,63,63,59,23,43,23,51,87,67,35,15,95,75,15,27,71,71,43,51,47,45,50
9,9,1210,大成,食品工業,47,47,51,59,43,31,67,63,43,95,27,83,67,63,71,31,19,95,59,55,51,47,63,58,50,57,56
10,10,1213,大飲,食品工業,19,19,15,99,15,91,95,95,87,15,31,99,71,91,59,43,23,67,35,11,99,99,47,72,56,33,59
11,11,1215,卜蜂,食品工業,55,55,27,83,19,23,47,31,15,19,35,19,23,31,27,79,27,91,27,95,15,15,15,29,48,44,39
12,12,1216,統一,食品工業,87,87,95,15,51,59,75,19,19,99,99,15,19,11,15,19,31,43,79,31,11,11,19,24,70,54,42
