,公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
0,台泥,水泥工業,1101,71,71,71,29,57,43,43,15,43,57,15,15,15,85,29,15,99,15,29,43,85,99,15,29,29,1,1,1,1,45
1,亞泥,水泥工業,1102,85,85,85,15,43,99,99,29,29,99,99,29,29,15,15,29,85,99,99,57,71,85,29,15,15,1,1,1,1,58
2,嘉泥,水泥工業,1103,99,99,99,43,99,85,85,99,57,85,85,99,99,99,99,99,71,85,85,29,57,71,85,71,99,1,1,1,1,83
3,環泥,水泥工業,1104,57,57,57,57,29,71,71,71,99,71,71,71,85,71,85,85,57,71,71,99,43,57,43,43,43,1,1,1,1,65
4,幸福,水泥工業,1108,15,15,15,99,71,15,29,43,15,43,57,57,57,57,43,71,43,29,15,85,29,43,71,57,71,1,1,1,1,46
5,信大,水泥工業,1109,29,43,43,71,85,57,57,57,85,29,43,43,43,43,71,57,29,57,43,15,99,29,57,85,57,1,1,1,1,53
6,東泥,水泥工業,1110,43,29,29,85,15,29,15,85,71,15,29,85,71,29,57,43,15,43,57,71,15,15,99,99,85,1,1,1,1,49
7,味全,食品工業,1201,51,51,59,43,67,47,15,23,59,79,55,31,31,39,75,59,99,99,99,47,43,43,35,31,71,1,1,1,1,54
8,味王,食品工業,1203,27,27,31,71,27,63,63,59,23,43,23,51,87,67,35,15,95,55,75,15,91,27,71,71,43,1,1,1,1,50
9,大成,食品工業,1210,47,47,51,59,43,31,67,63,43,95,27,83,67,63,71,31,19,95,95,59,19,55,51,47,63,1,1,1,1,56
10,大飲,食品工業,1213,19,19,15,99,15,91,95,95,87,15,31,99,71,91,59,43,23,59,67,35,95,11,99,99,47,1,1,1,1,59
11,卜蜂,食品工業,1215,55,55,27,83,19,23,47,31,15,19,35,19,23,31,27,79,27,87,91,27,23,95,15,15,15,1,1,1,1,39
12,統一,食品工業,1216,87,87,95,15,51,59,75,19,19,99,99,15,19,11,15,19,31,23,43,79,27,31,11,11,19,1,1,1,1,42
