公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
台泥,水泥工業,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),產品,ISO14046、ISO46001,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、24座製品廠、子公司和平電力),ISO 50001,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),ISO 14064,台泥台灣個體公司(涵蓋營運企業團總部、研究室、2座水泥廠),ISO 14064,產品,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),產品,ISO 9001,1101.0,1189.0,991.0,1030.0,922.0,0.27,5.0,0.0043,2861600.0,0.55,1.0,0.0001,4314312.0,218480.0,17428.0,0.8033,15.0,5.0,4.0,0.2667,1.0,1.0,0.0,1363.66,1363.66,0.0002
亞泥,水泥工業,亞洲水泥個體公司,產品,N,亞洲水泥個體公司,ISO 50001,亞洲水泥個體公司,ISO 14064,亞洲水泥個體公司,ISO 14064,亞洲水泥個體公司,ISO 14064,產品,亞洲水泥個體公司,亞洲水泥個體公司,亞洲水泥個體公司,百萬元營業額,ISO14001、ISO9001,1102.0,1326.0,1184.0,1056.0,930.0,0.2231,0.0,0.0,2329000.0,0.669,14.0,0.0,2924606.47,184773.12,97238.86,0.839,14.0,3.0,0.0,0.0,0.928,1.0,0.0,2654.0,2654.0,0.247
嘉泥,水泥工業,包含合併財務報表之母子公司,百萬元營業額,N,嘉泥台灣個體公司,ISO 50001,包含合併財務報表之母子公司,ISO 14064,包含合併財務報表之母子公司,ISO 14064,包含合併財務報表之母子公司,ISO 14064,百萬元營業額,包含合併財務報表之母子公司,包含合併財務報表之母子公司,包含合併財務報表之母子公司,百萬元營業額,N,1103.0,1188.0,947.0,873.0,805.0,0.135,0.0,0.0,192562.0,0.085,4.0,0.0,834.85,6807.56,1956.7,0.0043,7.0,3.0,1.0,0.1429,0.9463,1.0,0.0,344.0,344.0,0.0002
環泥,水泥工業,母公司,公噸/新台幣千元產值,N,母公司,N,母公司,N,母公司,N,,N,新台幣千元產值,母公司,母公司,母公司,新台幣千元產值,N,1104.0,899.0,840.0,796.0,724.0,0.07,1.0,0.002,297227.22,0.066,2.0,0.0,34528.66,20707.6,7896.97,0.0123,7.0,3.0,0.0,0.0,1.0,1.0,0.0,16243.73,16243.73,0.0036
幸福,水泥工業,幸福水泥(股)公司東澳廠,產品,N,,N,幸福水泥(股)公司東澳廠,ISO 14064,幸福水泥(股)公司東澳廠,ISO 14064,,N,產品,,,,,N,1108.0,736.0,610.0,580.0,521.0,0.2857,2.0,0.0044,955525.0,1.6115,1.0,0.0,526010.0,38629.0,7896.97,0.52,7.0,3.0,2.0,0.2857,1.0,1.0,0.0,8293.865,8293.865,0.0019
信大,水泥工業,僅母公司宜蘭南聖湖廠,,N,,N,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區),ISO 14064,百萬元營業額,,,,,N,1109.0,752.0,617.0,642.0,607.0,0.16,1.0,0.0,251619.0,0.07550000000000001,1.0,0.0,479891.48,37922.41,13837.24,75.12,9.0,3.0,1.0,0.1111,0.9777,0.3333,0.0,8293.865,8293.865,0.0019
東泥,水泥工業,僅母公司,總生產量(噸),N,僅母公司,N,僅母公司,N,僅母公司,N,,N,總生產量(噸),僅母公司,僅母公司,僅母公司,百萬元營業額,N,1110.0,831.0,665.0,630.0,607.0,0.1818,1.0,0.0096,13060.0,0.0219,1.0,0.0521,2570.0,17073.0,7896.97,0.033,10.0,3.0,1.0,0.1,0.98,1.0,0.0,51.14,51.14,0.0301
味全,食品工業,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.台中廠 斗六廠為地下水1,245,434公噸佔68%，總公司、中央研究所、營業所、_x000D_
  高雄廠為自來水586,485公噸佔32%。",百萬元營業額,N,,ISO 50001,"1.母公司(公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.直接擁有或控制的排放源所直接排放的溫室氣體_x000D_
  含2-1營業所/工廠購汽油柴油鍋爐天燃氣等排放及辦公室人員活動之溫室氣體排放_x000D_
  含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.外購電力產生溫室氣體排放",N,,N,百萬元營業額,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。_x000D_
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 _x000D_
堆肥處理為主、焚化處理次之)_x000D_
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。_x000D_
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 _x000D_
堆肥處理為主、焚化處理次之)_x000D_
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。_x000D_
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 _x000D_
堆肥處理為主、焚化處理次之)_x000D_
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。",百萬元營業額,ISO 14001,1201.0,887.0,744.0,734.0,675.0,0.2838,9.0,0.0063,1831919.0,226.28,1.0,0.0066,11760.23,20663.67,4107.639999999999,4.0,9.0,3.0,0.0,0.0,0.981,1.0,1.3,5378.4,5379.7,0.665
味王,食品工業,僅母公司,百萬元營業額,N,,N,僅母公司,N,僅母公司,N,,N,百萬元營業額,僅母公司,僅母公司,僅母公司,百萬元營業額,N,1203.0,677.0,590.0,609.0,579.0,0.097,10.0,0.014,0.312,0.137,1.0,0.13,5754.82,10013.07,3651.705,4.395,15.0,3.0,1.0,0.0667,0.7467,0.2667,26.275000000000002,430.575,567.8,0.25
大成,食品工業,,,N,,N,,N,,N,,N,,,,,,N,1210.0,809.0,681.0,710.0,600.0,0.19,21.0,0.0092,520228.5,28.69885,4.0,0.0001,4910.969999999999,14926.18,5191.075,2.1540999999999997,11.0,3.0,0.0,0.0,0.9688,0.9286,0.0,4561.215,4561.215,0.47545000000000004
