,公司代號,公司名稱,產業類別,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比率,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G,ESG_ByPR
0,1101,台泥,水泥工業,15.0,15.0,15.0,43.0,99.0,85.0,71.0,99.0,15.0,15.0,15.0,71.0,71.0,85.0,85.0,43.0,15,57.0,99,99,99.0,99,99,71.0,71.0,71,78.0,90.0,60.0,81.0,62
1,1102,亞泥,水泥工業,29.0,29.0,29.0,15.0,71.0,15.0,57.0,85.0,57.0,57.0,29.0,99.0,99.0,99.0,99.0,57.0,57,43.0,85,85,85.0,85,85,43.0,15.0,99,76.0,81.0,63.0,81.0,62
2,1103,嘉泥,水泥工業,99.0,99.0,99.0,99.0,57.0,71.0,15.0,71.0,99.0,71.0,43.0,85.0,85.0,71.0,71.0,99.0,29,15.0,71,71,71.0,43,57,57.0,57.0,85,58.0,48.0,45.0,83.0,69
3,1104,環泥,水泥工業,71.0,71.0,71.0,71.0,15.0,57.0,85.0,57.0,29.0,29.0,85.0,57.0,57.0,57.0,57.0,15.0,43,29.0,15,57,57.0,29,71,57.0,99.0,57,54.0,35.0,60.0,74.0,54
4,1108,幸福,水泥工業,43.0,43.0,57.0,29.0,43.0,29.0,43.0,43.0,43.0,43.0,71.0,15.0,15.0,15.0,15.0,71.0,99,99.0,57,43,43.0,15,43,99.0,85.0,43,65.0,54.0,73.0,72.0,48
5,1109,信大,水泥工業,57.0,57.0,43.0,57.0,29.0,43.0,29.0,29.0,71.0,85.0,57.0,29.0,29.0,29.0,29.0,29.0,85,85.0,43,29,29.0,57,29,29.0,29.0,29,59.0,57.0,63.0,60.0,44
6,1110,東泥,水泥工業,85.0,85.0,85.0,85.0,85.0,99.0,99.0,15.0,85.0,99.0,99.0,43.0,43.0,43.0,43.0,85.0,71,71.0,29,15,15.0,71,15,85.0,43.0,15,68.0,80.0,55.0,63.0,62
7,1201,味全,食品工業,39.0,31.0,19.0,51.0,51.0,19.0,63.0,35.0,27.0,27.0,79.0,59.0,55.0,59.0,63.0,55.0,59,71.0,99,99,99.0,79,15,51.0,79.0,47,60.0,65.0,53.0,66.0,55
8,1203,味王,食品工業,63.0,79.0,87.0,35.0,35.0,67.0,27.0,27.0,75.0,75.0,67.0,27.0,27.0,27.0,35.0,35.0,43,23.0,31,23,23.0,99,39,55.0,11.0,43,55.0,65.0,53.0,52.0,45
9,1210,大成,食品工業,19.0,23.0,15.0,47.0,11.0,23.0,87.0,51.0,15.0,15.0,47.0,55.0,59.0,63.0,59.0,43.0,27,51.0,11,27,27.0,23,63,51.0,71.0,95,54.0,25.0,55.0,67.0,41
10,1213,大飲,食品工業,83.0,87.0,71.0,87.0,71.0,83.0,15.0,55.0,99.0,99.0,63.0,15.0,15.0,11.0,11.0,95.0,91,87.0,35,31,31.0,35,43,59.0,87.0,15,57.0,55.0,58.0,57.0,57
11,1215,卜蜂,食品工業,23.0,27.0,43.0,55.0,39.0,27.0,19.0,59.0,19.0,19.0,27.0,63.0,63.0,55.0,31.0,63.0,19,31.0,39,35,35.0,31,83,51.0,99.0,19,60.0,65.0,55.0,63.0,41
12,1216,統一,食品工業,15.0,11.0,11.0,11.0,19.0,11.0,91.0,31.0,11.0,11.0,11.0,87.0,87.0,91.0,95.0,51.0,71,75.0,43,39,39.0,95,95,71.0,67.0,99,70.0,69.0,60.0,80.0,51
13,1217,愛之味,食品工業,87.0,75.0,99.0,67.0,23.0,63.0,99.0,63.0,55.0,55.0,59.0,35.0,35.0,43.0,43.0,59.0,47,11.0,47,43,43.0,39,19,51.0,15.0,23,58.0,53.0,58.0,61.0,50
14,1218,泰山,食品工業,67.0,71.0,91.0,95.0,99.0,39.0,11.0,19.0,63.0,63.0,15.0,39.0,31.0,23.0,27.0,19.0,51,43.0,51,47,47.0,43,23,87.0,31.0,27,70.0,70.0,80.0,60.0,47
15,1219,福壽,食品工業,55.0,63.0,55.0,83.0,27.0,55.0,55.0,71.0,47.0,47.0,55.0,43.0,43.0,39.0,51.0,31.0,55,47.0,19,51,51.0,47,27,83.0,35.0,31,66.0,69.0,55.0,75.0,49
16,1220,台榮,食品工業,31.0,59.0,35.0,15.0,91.0,35.0,79.0,99.0,79.0,79.0,99.0,31.0,39.0,35.0,39.0,15.0,67,59.0,55,55,55.0,87,31,79.0,47.0,35,55.0,74.0,50.0,50.0,55
17,1225,福懋油,食品工業,71.0,91.0,47.0,99.0,31.0,79.0,23.0,43.0,71.0,71.0,43.0,51.0,51.0,51.0,55.0,27.0,79,79.0,27,19,19.0,51,35,91.0,39.0,39,58.0,53.0,55.0,63.0,53
